time,duration,poserror,pulsestostop,delay,pos,speed,accel,initial delay
130110254,646,-183.000000,98,637.157715,-2348,1569.470093,12598.425781,6350.000000
130124664,720,-41.000000,77,718.770691,-2327,1391.264282,12598.425781,6350.000000
130141103,842,-101.000000,56,842.607300,-2306,1186.792480,12598.425781,6350.000000
130160964,1061,-168.000000,36,1064.629883,-2285,939.293579,12598.425781,6350.000000
130188180,1622,-57.000000,15,1669.584106,-2264,598.951538,12598.425781,6350.000000
130268581,6362,-64.000000,0,6350.000000,-2253,0.000000,12598.425781,6350.000000
130402185,6363,-161.000000,0,6350.000000,-2274,0.000000,12598.425781,6350.000000
130535809,6361,-62.000000,0,6350.000000,-2295,0.000000,12598.425781,6350.000000
130669431,6365,-161.000000,0,6350.000000,-2316,0.000000,12598.425781,6350.000000
130803023,6363,-60.000000,0,6350.000000,-2337,0.000000,12598.425781,6350.000000
130936605,6361,-159.000000,0,6350.000000,-2358,0.000000,12598.425781,6350.000000
131070214,6360,-59.000000,0,6350.000000,-2379,0.000000,12598.425781,6350.000000
131203835,6367,-157.000000,0,6350.000000,-2400,0.000000,12598.425781,6350.000000
131337436,6361,-58.000000,0,6350.000000,-2421,0.000000,12598.425781,6350.000000
131471042,6363,-155.000000,0,6350.000000,-2442,0.000000,12598.425781,6350.000000
131604648,6360,-57.000000,0,6350.000000,-2463,0.000000,12598.425781,6350.000000
131738268,6360,-154.000000,0,6350.000000,-2484,0.000000,12598.425781,6350.000000
131871888,6362,-55.000000,0,6350.000000,-2505,0.000000,12598.425781,6350.000000
132005501,6361,-153.000000,0,6350.000000,-2526,0.000000,12598.425781,6350.000000
132139106,6362,-52.000000,0,6350.000000,-2547,0.000000,12598.425781,6350.000000
132272704,6361,-151.000000,0,6350.000000,-2568,0.000000,12598.425781,6350.000000
132406308,6360,-51.000000,0,6350.000000,-2589,0.000000,12598.425781,6350.000000
132539913,6367,-149.000000,0,6350.000000,-2610,0.000000,12598.425781,6350.000000
132673521,6366,-51.000000,0,6350.000000,-2631,0.000000,12598.425781,6350.000000
132807121,6363,-147.000000,0,6350.000000,-2652,0.000000,12598.425781,6350.000000
132940719,6362,-49.000000,0,6350.000000,-2673,0.000000,12598.425781,6350.000000
133074308,6360,-146.000000,0,6350.000000,-2694,0.000000,12598.425781,6350.000000
133207937,6367,-47.000000,0,6350.000000,-2715,0.000000,12598.425781,6350.000000
133341530,6360,-145.000000,0,6350.000000,-2736,0.000000,12598.425781,6350.000000
133475141,6363,-45.000000,0,6350.000000,-2757,0.000000,12598.425781,6350.000000
133608745,6363,-144.000000,0,6350.000000,-2778,0.000000,12598.425781,6350.000000
133742364,6361,-43.000000,0,6350.000000,-2799,0.000000,12598.425781,6350.000000
133875944,6367,-142.000000,0,6350.000000,-2820,0.000000,12598.425781,6350.000000
