time,duration,poserror,pulsestostop,delay,pos,speed,accel,initial delay
125742415,181,1500.000000,1500,162.706482,-8277,6146.036621,12598.425781,6350.000000
125747610,176,1500.000000,1499,162.652100,-8256,6148.091309,12598.425781,6350.000000
125751764,175,1500.000000,1500,162.706207,-8235,6146.046875,12598.425781,6350.000000
125755926,182,1500.000000,1499,162.651840,-8214,6148.101562,12598.425781,6350.000000
125760381,175,1500.000000,1500,162.705933,-8193,6146.057129,12598.425781,6350.000000
125764531,175,1500.000000,1499,162.651566,-8172,6148.111816,12598.425781,6350.000000
125768686,176,1500.000000,1500,162.705673,-8151,6146.067383,12598.425781,6350.000000
125772850,181,1500.000000,1499,162.651291,-8130,6148.122070,12598.425781,6350.000000
125777004,175,1500.000000,1500,162.705399,-8109,6146.077637,12598.425781,6350.000000
125781164,176,1500.000000,1499,162.651016,-8088,6148.132324,12598.425781,6350.000000
125785297,175,1500.000000,1500,162.705124,-8067,6146.087891,12598.425781,6350.000000
125789453,175,1500.000000,1499,162.650757,-8046,6148.142578,12598.425781,6350.000000
125793610,175,1500.000000,1500,162.704849,-8025,6146.098145,12598.425781,6350.000000
125797764,175,1500.000000,1499,162.650482,-8004,6148.152832,12598.425781,6350.000000
125801926,182,1500.000000,1500,162.704590,-7983,6146.108398,12598.425781,6350.000000
125806082,175,1500.000000,1499,162.650208,-7962,6148.163086,12598.425781,6350.000000
125810200,175,1500.000000,1500,162.704315,-7941,6146.118652,12598.425781,6350.000000
125814355,176,1500.000000,1499,162.649933,-7920,6148.173340,12598.425781,6350.000000
125818510,175,1500.000000,1500,162.704041,-7899,6146.128906,12598.425781,6350.000000
125822669,177,1500.000000,1499,162.649658,-7878,6148.183594,12598.425781,6350.000000
125826825,181,1500.000000,1500,162.703766,-7857,6146.139160,12598.425781,6350.000000
125830984,180,1500.000000,1499,162.649399,-7836,6148.193848,12598.425781,6350.000000
125835141,175,1500.000000,1500,162.703491,-7815,6146.149414,12598.425781,6350.000000
125839293,175,1500.000000,1499,162.649124,-7794,6148.204102,12598.425781,6350.000000
125843453,175,1500.000000,1500,162.703232,-7773,6146.159668,12598.425781,6350.000000
125847610,176,1500.000000,1499,162.648849,-7752,6148.214355,12598.425781,6350.000000
125851765,176,1500.000000,1500,162.702957,-7731,6146.169922,12598.425781,6350.000000
125855927,182,1500.000000,1499,162.648575,-7710,6148.224609,12598.425781,6350.000000
125860084,175,1500.000000,1500,162.702682,-7689,6146.180176,12598.425781,6350.000000
125864229,175,1500.000000,1499,162.648315,-7668,6148.234863,12598.425781,6350.000000
125868381,175,1500.000000,1500,162.702408,-7647,6146.190430,12598.425781,6350.000000
125872532,176,1500.000000,1499,162.648041,-7626,6148.245117,12598.425781,6350.000000
125876686,176,1500.000000,1500,162.702133,-7605,6146.200684,12598.425781,6350.000000
125880850,181,1500.000000,1499,162.647766,-7584,6148.255371,12598.425781,6350.000000
